,segment,users,date
0,Dynamic Segment,624405,5/2019
1,Dynamic Segment,672955,6/2019
2,Dynamic Segment,726730,7/2019
3,Dynamic Segment,711273,8/2019
4,Dynamic Segment,642040,9/2019
5,Dynamic Segment,691678,10/2019
6,Dynamic Segment,655320,11/2019
7,Dynamic Segment,668165,12/2019
8,Dynamic Segment,803366,1/2020
9,Dynamic Segment,721723,2/2020
10,Dynamic Segment,738269,3/2020
11,Dynamic Segment,669036,4/2020
