day,all
02/10/19,2
02/17/19,2
02/24/19,2
03/03/19,2
03/10/19,1
03/24/19,2
03/31/19,2
04/07/19,9
04/14/19,17
04/21/19,10
04/28/19,3
05/12/19,1
05/19/19,1
05/26/19,1
06/23/19,1
