day,all
11/27/16,6143
12/04/16,9889
12/11/16,10445
12/18/16,14316
12/25/16,15098
01/01/17,15952
01/08/17,20651
01/15/17,23624
01/22/17,20984
01/29/17,23295
02/05/17,21741
02/12/17,22183
02/19/17,20313
02/26/17,19263
03/05/17,23040
03/12/17,21197
03/19/17,20105
03/26/17,20067
04/02/17,21232
04/09/17,21112
