day,desktop,mobile,all
09/09/18,57.87311729803742,42.12688270196258,2191.0
09/16/18,58.52731591448931,41.47268408551069,2105.0
09/23/18,56.024096385542165,43.97590361445783,2158.0
09/30/18,55.90593265633351,44.09406734366649,1871.0
10/07/18,56.19834710743802,43.80165289256198,1815.0
10/14/18,61.601884570082454,38.39811542991755,1698.0
10/21/18,61.60493827160494,38.39506172839506,1620.0
10/28/18,62.13890596189305,37.86109403810695,1627.0
11/04/18,64.26092990978486,35.73907009021513,1441.0
11/11/18,63.62660944206009,36.37339055793991,932.0
11/18/18,70.0,30.0,10.0
11/25/18,,,
