day,views
03/11/18,44952
03/18/18,42933
03/25/18,47967
04/01/18,39968
04/08/18,41236
04/15/18,43367
04/22/18,43651
04/29/18,43709
05/06/18,39420
05/13/18,38917
05/20/18,42178
05/27/18,38326
06/03/18,36752
06/10/18,39650
06/17/18,37950
06/24/18,40857
07/01/18,39742
07/08/18,33940
07/15/18,42067
07/22/18,42620
