day,all
09/10/17,1186
09/17/17,1442
09/24/17,1665
10/01/17,2102
10/08/17,1905
10/15/17,1827
10/22/17,2320
10/29/17,2219
11/05/17,2148
11/12/17,1986
11/19/17,2233
11/26/17,1450
12/03/17,3648
12/10/17,2204
12/17/17,1819
12/24/17,1972
12/31/17,1438
01/07/18,1919
01/14/18,2108
01/21/18,2056
