day,all
04/02/17,3108
04/09/17,3033
04/16/17,3108
04/23/17,3272
04/30/17,3312
05/07/17,3266
05/14/17,3163
05/21/17,3187
05/28/17,3086
06/04/17,3187
06/11/17,3441
06/18/17,3315
06/25/17,3706
07/02/17,3614
07/09/17,3059
07/16/17,8146
07/23/17,5979
07/30/17,5396
08/06/17,4735
08/13/17,4516
