day,views
06/04/17,53336
06/11/17,55198
06/18/17,52480
06/25/17,58565
07/02/17,63389
07/09/17,55427
07/16/17,96848
07/23/17,92911
07/30/17,79275
08/06/17,76000
08/13/17,74863
08/20/17,67779
08/27/17,76966
09/03/17,63842
09/10/17,54640
09/17/17,73401
09/24/17,114690
10/01/17,146540
10/08/17,113924
10/15/17,135520
