day,all
07/02/17,4814
07/09/17,4046
07/16/17,5599
07/23/17,5596
07/30/17,5657
08/06/17,5560
08/13/17,5711
08/20/17,5649
08/27/17,4795
09/03/17,3627
09/10/17,2787
09/17/17,2957
09/24/17,2981
10/01/17,3242
10/08/17,3339
10/15/17,3322
10/22/17,3432
10/29/17,3468
11/05/17,3436
11/12/17,3345
