day,new,returning
01/08/17,109183,22416
01/15/17,145746,27346
01/22/17,94035,26068
01/29/17,95700,25664
02/05/17,76154,23138
02/12/17,73675,21992
02/19/17,73417,21273
02/26/17,77178,21859
03/05/17,86205,22829
03/12/17,77904,21113
03/19/17,77243,21496
03/26/17,81644,22843
04/02/17,84177,24003
04/09/17,85324,24283
04/16/17,94951,25138
04/23/17,97247,26671
04/30/17,90149,27261
05/07/17,91414,26959
05/14/17,89288,26762
05/21/17,89654,26681
