day,new,returning
12/04/16,17885,1569
12/11/16,16688,1625
12/18/16,14986,1598
12/25/16,12367,1296
01/01/17,13813,1433
01/08/17,17776,1769
01/15/17,18958,1999
01/22/17,18042,1938
01/29/17,18837,2214
02/05/17,18053,2183
02/12/17,17623,1983
02/19/17,17283,2005
02/26/17,16835,1987
03/05/17,18349,2079
03/12/17,17328,2081
03/19/17,17135,2122
03/26/17,17128,2124
04/02/17,17228,1929
04/09/17,16152,1922
04/16/17,15801,1890
