day,all
11/20/16,70095
11/27/16,47564
12/04/16,74028
12/11/16,85162
12/18/16,98879
12/25/16,80646
01/01/17,78309
01/08/17,131814
01/15/17,172888
01/22/17,119924
01/29/17,121426
02/05/17,99164
02/12/17,95321
02/19/17,94555
02/26/17,99297
03/05/17,109639
03/12/17,99337
03/19/17,98549
03/26/17,104080
04/02/17,107881
