day,desktop,mobile,all
04/23/17,62.808641975308646,37.191358024691354,648
04/30/17,57.799442896935936,42.20055710306407,718
05/07/17,60.37735849056604,39.62264150943396,636
05/14/17,69.77928692699491,30.220713073005097,589
05/21/17,58.21596244131455,41.78403755868544,639
05/28/17,61.38279932546374,38.61720067453626,593
06/04/17,73.87295081967213,26.127049180327873,976
06/11/17,56.951871657754005,43.04812834224599,748
06/18/17,57.609921082299884,42.390078917700116,887
06/25/17,57.46509129967776,42.534908700322234,931
07/02/17,58.134243458475545,41.865756541524455,879
07/09/17,58.94039735099338,41.05960264900662,604
07/16/17,48.36800573888092,51.63199426111908,5576
07/23/17,51.01075268817205,48.98924731182795,2325
07/30/17,51.2781954887218,48.721804511278194,1995
08/06/17,52.95288652952886,47.04711347047114,1507
08/13/17,59.23566878980891,40.76433121019109,942
08/20/17,58.307210031347964,41.692789968652036,957
08/27/17,62.227324913892076,37.772675086107924,871
09/03/17,60.625814863103,39.374185136897,767
