day,views
01/21/18,128904
01/28/18,139292
02/04/18,131307
02/11/18,131253
02/18/18,126307
02/25/18,127565
03/04/18,129623
03/11/18,135326
03/18/18,127882
03/25/18,133425
04/01/18,122778
04/08/18,138138
04/15/18,144067
04/22/18,144153
04/29/18,143703
05/06/18,140228
05/13/18,137956
05/20/18,143072
05/27/18,132620
06/03/18,124529
