day,views
02/18/18,4380
02/25/18,4313
03/04/18,4454
03/11/18,4224
03/18/18,4228
03/25/18,4356
04/01/18,3752
04/08/18,3552
04/15/18,3879
04/22/18,4664
04/29/18,17526
05/06/18,14908
05/13/18,12793
05/20/18,14130
05/27/18,13880
06/03/18,16441
06/10/18,15404
06/17/18,13341
06/24/18,14846
07/01/18,13381
