day,all
04/15/18,27935
04/22/18,28219
04/29/18,28417
05/06/18,27119
05/13/18,27447
05/20/18,29878
05/27/18,27274
06/03/18,25674
06/10/18,27117
06/17/18,29415
06/24/18,28633
07/01/18,28675
07/08/18,26621
07/15/18,30117
07/22/18,30754
07/29/18,35180
08/05/18,33522
08/12/18,33469
08/19/18,32490
08/26/18,33971
