day,views
11/26/17,881377
12/03/17,2892695
12/10/17,1825665
12/17/17,1524085
12/24/17,1276900
12/31/17,1069440
01/07/18,1578272
01/14/18,1926310
01/21/18,1756735
01/28/18,1911541
02/04/18,2347420
02/11/18,2335321
02/18/18,2080698
02/25/18,2001647
03/04/18,1957199
03/11/18,2031848
03/18/18,1884147
03/25/18,2105398
04/01/18,1973237
04/08/18,2216411
