day,loa1signups,loa3signups
01/07/18,14020,4015
01/14/18,17080,4713
01/21/18,15926,5458
01/25/18,13952,5114
09/17/17,11972,6080
09/24/17,11998,6287
10/01/17,11432,4439
10/08/17,10965,2304
10/15/17,10755,3739
10/22/17,14839,3201
10/29/17,12728,2751
11/05/17,13430,3121
11/12/17,13206,2870
11/19/17,10803,2638
11/26/17,6861,1684
12/03/17,76400,38931
12/10/17,15586,4816
12/17/17,14711,4127
12/24/17,12278,3484
12/31/17,10114,2647
