day,views
01/01/17,1272
01/08/17,3993
01/15/17,1893
01/22/17,1532
01/29/17,1545
02/05/17,1776
02/12/17,2266
02/19/17,2905
02/26/17,4065
03/05/17,4388
03/12/17,4266
03/19/17,4658
03/26/17,5224
04/02/17,4859
04/09/17,4594
04/16/17,4418
04/23/17,4552
04/30/17,4159
05/07/17,4302
05/14/17,4285
