day,desktop,mobile,all
04/15/18,79.13513513513514,20.864864864864867,1850
04/22/18,78.13186813186813,21.86813186813187,1820
04/29/18,75.67058823529412,24.32941176470588,2125
05/06/18,78.97323866739487,21.026761332605133,1831
05/13/18,80.16383850204798,19.836161497952016,1709
05/20/18,76.27035027133695,23.72964972866305,2027
05/27/18,75.74646411733892,24.25353588266108,1909
06/03/18,72.36633139227105,27.633668607728957,1889
06/10/18,76.42526964560862,23.57473035439137,1947
06/17/18,76.93121693121692,23.06878306878307,1890
06/24/18,76.90368129097327,23.09631870902673,1983
07/01/18,78.01075268817205,21.989247311827956,1860
07/08/18,73.27887981330223,26.72112018669778,1714
07/15/18,74.45436507936508,25.545634920634917,2016
07/22/18,75.46897546897547,24.53102453102453,2079
07/29/18,75.30266343825666,24.69733656174334,2065
08/05/18,75.38008827856792,24.619911721432075,2039
08/12/18,76.84754521963825,23.152454780361754,1935
08/19/18,75.95200834637454,24.047991653625456,1917
08/26/18,76.91154422788605,23.088455772113946,2001
