day,all
12/10/17,9
12/17/17,9
12/24/17,1949
12/31/17,787
01/07/18,977
01/14/18,882
01/21/18,811
01/28/18,6224
02/04/18,4983
02/11/18,3222
02/18/18,2461
02/25/18,2351
