day,new,returning
02/19/17,1,2
02/26/17,1,2
03/05/17,171,1122
03/12/17,425,2192
03/19/17,888,2224
03/26/17,3423,1831
04/02/17,3514,1755
04/09/17,3317,1405
04/16/17,3152,1287
04/23/17,3607,1486
04/30/17,3658,1503
05/07/17,3847,1610
05/14/17,3618,1558
05/21/17,3935,1437
05/28/17,3591,1458
06/04/17,3113,1349
06/11/17,3658,1464
06/18/17,3646,1504
