day,all
01/14/18,9180
01/21/18,8909
01/28/18,9066
02/04/18,10050
02/11/18,9929
02/18/18,9907
02/25/18,9839
03/04/18,9478
03/11/18,10320
03/18/18,9266
03/25/18,9918
04/01/18,9023
04/08/18,10467
04/15/18,10241
04/22/18,9761
04/29/18,9792
05/06/18,9280
05/13/18,8511
05/20/18,9478
05/27/18,8377
