day,desktop,mobile,all
09/16/18,50.92617270788913,49.07382729211087,30016.0
09/23/18,55.58604215759062,44.413957842409374,30979.0
09/30/18,55.938452811458546,44.06154718854145,28206.0
10/07/18,55.478674720849355,44.521325279150645,27315.0
10/14/18,55.80012600409513,44.199873995904866,25396.0
10/21/18,55.4275949178988,44.5724050821012,26918.0
10/28/18,56.921222490084766,43.078777509915234,25718.0
11/04/18,58.14672109258765,41.85327890741235,26213.0
11/11/18,60.66302118933697,39.33697881066302,11704.0
11/18/18,47.27272727272727,52.72727272727272,55.0
12/02/18,,,
