day,new,returning
12/04/16,14634,3010
12/11/16,14985,3287
12/18/16,14058,3313
12/25/16,9154,2481
01/01/17,9218,2639
01/08/17,14535,3290
01/15/17,17385,3694
01/22/17,14238,3433
01/29/17,17292,3764
02/05/17,15986,3608
02/12/17,16132,3683
02/19/17,14816,3552
02/26/17,13250,3379
03/05/17,15185,3542
03/12/17,13962,3486
03/19/17,13308,3495
03/26/17,15457,3721
04/02/17,14483,3662
04/09/17,14622,3684
04/16/17,13604,3524
