day,desktop,mobile,all
05/28/17,37.34177215189873,62.65822784810127,158
06/04/17,55.61797752808989,44.38202247191011,178
06/11/17,23.83177570093458,76.16822429906543,214
06/18/17,44.02985074626866,55.970149253731336,134
06/25/17,31.654676258992804,68.34532374100719,139
07/02/17,31.645569620253166,68.35443037974683,237
07/09/17,50.0,50.0,158
07/16/17,48.701298701298704,51.298701298701296,154
07/23/17,42.30769230769231,57.692307692307686,234
07/30/17,47.599999999999994,52.400000000000006,250
08/06/17,61.92660550458715,38.07339449541284,218
08/13/17,39.792387543252595,60.207612456747405,289
08/20/17,46.7510001081198,53.2489998918802,9249
08/27/17,47.08270502261919,52.91729497738081,8621
09/03/17,45.78353624483413,54.21646375516587,8953
09/10/17,47.487147203861085,52.51285279613892,9531
09/17/17,46.77982541222114,53.22017458777886,10310
09/24/17,48.032270759543486,51.96772924045652,10164
10/01/17,48.5758724603869,51.42412753961311,10287
10/08/17,48.36098340995403,51.63901659004597,10006
