day,views
09/10/17,3428
09/17/17,4292
09/24/17,4868
10/01/17,6794
10/08/17,7681
10/15/17,7258
10/22/17,8870
10/29/17,8377
11/05/17,7821
11/12/17,7273
11/19/17,7167
11/26/17,4726
12/03/17,11782
12/10/17,7974
12/17/17,8051
12/24/17,8272
12/31/17,5853
01/07/18,7519
01/14/18,8629
01/21/18,8603
