day,new,returning
02/26/17,10181,3795
03/05/17,10355,4018
03/12/17,9586,4115
03/19/17,9632,4225
03/26/17,10083,4366
04/02/17,10538,4365
04/09/17,9289,4131
04/16/17,10085,4239
04/23/17,10618,4320
04/30/17,9760,4378
05/07/17,10244,4499
05/14/17,9833,4375
05/21/17,9661,4251
05/28/17,9750,4409
06/04/17,8064,4268
06/11/17,8611,4471
06/18/17,8645,4526
06/25/17,9217,4651
07/02/17,9245,4782
07/09/17,8117,4280
