day,new,returning
03/19/17,0,2
04/09/17,278,69
04/16/17,1249,362
04/23/17,2704,718
04/30/17,2744,841
05/07/17,2725,900
05/14/17,2599,948
05/21/17,2639,931
05/28/17,2793,960
06/04/17,2735,945
06/11/17,3409,1077
06/18/17,3465,1175
06/25/17,3545,1343
07/02/17,3418,1397
