day,new,returning
01/01/17,195,12
01/08/17,413,19
01/15/17,349,35
01/22/17,301,28
01/29/17,276,32
02/05/17,251,36
02/12/17,285,31
02/19/17,756,49
02/26/17,1714,70
03/05/17,1887,103
03/12/17,1717,131
03/19/17,1704,137
03/26/17,1698,149
04/02/17,1676,177
04/09/17,1732,163
04/16/17,1675,200
04/23/17,1648,184
04/30/17,1660,180
05/07/17,1627,200
05/14/17,1557,170
