day,all
04/16/17,17033
04/23/17,18459
04/30/17,18760
05/07/17,18087
05/14/17,18707
05/21/17,17905
05/28/17,16031
06/04/17,14330
06/11/17,17302
06/18/17,16752
06/25/17,17316
07/02/17,16813
07/09/17,13927
07/16/17,19895
07/23/17,20665
07/30/17,21995
08/06/17,22186
08/13/17,23206
08/20/17,24684
08/27/17,23031
