day,all
02/11/18,6459
02/18/18,6719
02/25/18,6742
03/04/18,6993
03/11/18,6816
03/18/18,6626
03/25/18,6955
04/01/18,6209
04/08/18,7047
04/15/18,7565
04/22/18,7792
04/29/18,7571
05/06/18,7750
05/13/18,7198
05/20/18,7763
05/27/18,7085
06/03/18,6590
06/10/18,7365
06/17/18,7022
06/24/18,7986
