day,new,returning
12/11/16,9313,1132
12/18/16,13052,1264
12/25/16,13772,1326
01/01/17,14432,1520
01/08/17,18767,1884
01/15/17,21367,2257
01/22/17,18768,2216
01/29/17,20735,2560
02/05/17,19363,2378
02/12/17,19745,2438
02/19/17,17834,2479
02/26/17,16869,2394
03/05/17,20459,2581
03/12/17,18637,2560
03/19/17,17650,2455
03/26/17,17593,2474
04/02/17,18838,2394
04/09/17,18643,2474
04/16/17,17937,2464
04/23/17,19037,2646
