day,all
01/08/17,1425
01/15/17,724
01/22/17,525
01/29/17,508
02/05/17,680
02/12/17,768
02/19/17,1125
02/26/17,1594
03/05/17,1767
03/12/17,1619
03/19/17,1775
03/26/17,2008
04/02/17,2031
04/09/17,1942
04/16/17,1992
04/23/17,2007
04/30/17,1972
05/07/17,1980
05/14/17,1878
05/21/17,1835
