day,desktop,mobile,all
10/14/18,60.77481840193705,39.22518159806295,3304.0
10/21/18,62.170739447794354,37.82926055220565,3151.0
10/28/18,63.21566300800949,36.78433699199051,3371.0
11/04/18,63.20809248554913,36.79190751445087,3460.0
11/11/18,63.5489043292357,36.4510956707643,1871.0
11/18/18,70.0,30.0,30.0
11/25/18,87.5,12.5,8.0
12/02/18,75.0,25.0,8.0
12/16/18,,,
12/23/18,,,
12/30/18,,,
01/13/19,,,
01/20/19,,,
01/27/19,,,
02/03/19,,,
02/10/19,,,
02/17/19,66.66666666666666,33.33333333333333,3.0
02/24/19,,,
03/03/19,,,
