day,all
02/05/17,287
02/12/17,316
02/19/17,805
02/26/17,1786
03/05/17,1990
03/12/17,1848
03/19/17,1841
03/26/17,1848
04/02/17,1853
04/09/17,1895
04/16/17,1875
04/23/17,1832
04/30/17,1840
05/07/17,1829
05/14/17,1727
05/21/17,1631
05/28/17,1663
06/04/17,1520
06/11/17,1625
06/18/17,1786
