day,new,returning
01/08/17,85,5808
01/15/17,153,11587
01/22/17,154,9479
01/29/17,860,8899
02/05/17,1265,6398
02/12/17,1201,6483
02/19/17,1190,5975
02/26/17,1242,5853
03/05/17,1591,7383
03/12/17,1484,7079
03/19/17,3342,5747
03/26/17,9498,2474
04/02/17,9655,2409
04/09/17,9610,2410
04/16/17,8447,2007
04/23/17,9526,2405
