day,all
10/07/18,267
10/14/18,274
10/21/18,212
10/28/18,231
11/04/18,250
11/11/18,188
11/18/18,2
11/25/18,0
12/02/18,0
12/09/18,0
12/16/18,0
12/23/18,0
12/30/18,0
01/13/19,0
01/20/19,0
01/27/19,0
02/03/19,0
02/10/19,0
02/17/19,0
02/24/19,0
